question,intent
Bruno Fernandes có bao nhiêu kiến tạo?,assists
Bruno Fernandes đã chơi bao nhiêu trận?,match_played
Bruno Fernandes đã rê bóng bao nhiêu lần?,dribbles
Bruno Fernandes đá bao nhiêu quả phạt góc?,corner_taken
Bruno Fernandes việt vị bao nhiêu lần?,offsides
Bruno Fernandes chơi ở vị trí nào?,position
Bruno Fernandes đang chơi cho câu lạc bộ nào?,club
Vinícius Júnior có bao nhiêu kiến tạo?,assists
Vinícius Júnior đã chơi bao nhiêu trận?,match_played
Vinícius Júnior đã rê bóng bao nhiêu lần?,dribbles
Vinícius Júnior đá bao nhiêu quả phạt góc?,corner_taken
Vinícius Júnior việt vị bao nhiêu lần?,offsides
Vinícius Júnior chơi ở vị trí nào?,position
Vinícius Júnior đang chơi cho câu lạc bộ nào?,club
Sané có bao nhiêu kiến tạo?,assists
Sané đã chơi bao nhiêu trận?,match_played
Sané đã rê bóng bao nhiêu lần?,dribbles
Sané đá bao nhiêu quả phạt góc?,corner_taken
Sané việt vị bao nhiêu lần?,offsides
Sané chơi ở vị trí nào?,position
Sané đang chơi cho câu lạc bộ nào?,club
Antony có bao nhiêu kiến tạo?,assists
Antony đã chơi bao nhiêu trận?,match_played
Antony đã rê bóng bao nhiêu lần?,dribbles
Antony đá bao nhiêu quả phạt góc?,corner_taken
Antony việt vị bao nhiêu lần?,offsides
Antony chơi ở vị trí nào?,position
Antony đang chơi cho câu lạc bộ nào?,club
Alexander-Arnold có bao nhiêu kiến tạo?,assists
Alexander-Arnold đã chơi bao nhiêu trận?,match_played
Alexander-Arnold đã rê bóng bao nhiêu lần?,dribbles
Alexander-Arnold đá bao nhiêu quả phạt góc?,corner_taken
Alexander-Arnold việt vị bao nhiêu lần?,offsides
Alexander-Arnold chơi ở vị trí nào?,position
Alexander-Arnold đang chơi cho câu lạc bộ nào?,club
De Bruyne có bao nhiêu kiến tạo?,assists
De Bruyne đã chơi bao nhiêu trận?,match_played
De Bruyne đã rê bóng bao nhiêu lần?,dribbles
De Bruyne đá bao nhiêu quả phạt góc?,corner_taken
De Bruyne việt vị bao nhiêu lần?,offsides
De Bruyne chơi ở vị trí nào?,position
De Bruyne đang chơi cho câu lạc bộ nào?,club
Modrić có bao nhiêu kiến tạo?,assists
Modrić đã chơi bao nhiêu trận?,match_played
Modrić đã rê bóng bao nhiêu lần?,dribbles
Modrić đá bao nhiêu quả phạt góc?,corner_taken
Modrić việt vị bao nhiêu lần?,offsides
Modrić chơi ở vị trí nào?,position
Modrić đang chơi cho câu lạc bộ nào?,club
João Mário có bao nhiêu kiến tạo?,assists
João Mário đã chơi bao nhiêu trận?,match_played
João Mário đã rê bóng bao nhiêu lần?,dribbles
João Mário đá bao nhiêu quả phạt góc?,corner_taken
João Mário việt vị bao nhiêu lần?,offsides
João Mário chơi ở vị trí nào?,position
João Mário đang chơi cho câu lạc bộ nào?,club
Mbappé có bao nhiêu kiến tạo?,assists
Mbappé đã chơi bao nhiêu trận?,match_played
Mbappé đã rê bóng bao nhiêu lần?,dribbles
Mbappé đá bao nhiêu quả phạt góc?,corner_taken
Mbappé việt vị bao nhiêu lần?,offsides
Mbappé chơi ở vị trí nào?,position
Mbappé đang chơi cho câu lạc bộ nào?,club
Gerard Moreno có bao nhiêu kiến tạo?,assists
Gerard Moreno đã chơi bao nhiêu trận?,match_played
Gerard Moreno đã rê bóng bao nhiêu lần?,dribbles
Gerard Moreno đá bao nhiêu quả phạt góc?,corner_taken
Gerard Moreno việt vị bao nhiêu lần?,offsides
Gerard Moreno chơi ở vị trí nào?,position
Gerard Moreno đang chơi cho câu lạc bộ nào?,club
